source_feed_id,source_feed_folder,route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,original_route_id,original_service_id,original_trip_id,original_shape_id,wheelchair_accessible,bikes_allowed,jp_office_id
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-weekday+1,渡船場行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0001,i1,i-weekday,i1+1+i-weekday+1,SHP0001,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-weekday+2,小河内行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0002,i1,i-weekday,i1+1+i-weekday+2,SHP0002,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-weekday+3,白樺荘行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0003,i1,i-weekday,i1+1+i-weekday+3,SHP0003,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-weekday+4,小河内行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0004,i1,i-weekday,i1+1+i-weekday+4,SHP0004,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-weekday+5,小河内行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0005,i1,i-weekday,i1+1+i-weekday+5,SHP0005,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-weekday+6,小河内行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0006,i1,i-weekday,i1+1+i-weekday+6,SHP0006,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-weekday+7,小河内行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0007,i1,i-weekday,i1+1+i-weekday+7,SHP0007,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekend,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-weekend+8,小河内行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0007,i1,i-weekend,i1+1+i-weekend+8,SHP0007,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-summer,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-summer+9,白樺荘行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0008,i1,i-summer,i1+1+i-summer+9,SHP0008,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekend,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-weekend+10,中山行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0009,i1,i-weekend,i1+1+i-weekend+10,SHP0009,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-summer,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-summer+11,渡船場行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0010,i1,i-summer,i1+1+i-summer+11,SHP0010,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekend,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-weekend+12,南アルプスユネスコパーク井川ビジターセンター行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0011,i1,i-weekend,i1+1+i-weekend+12,SHP0011,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i1,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekend,feed_shizuokacity_ikawa_20260401_20260630213838_i1+1+i-weekend+13,白樺荘行き,1,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0003,i1,i-weekend,i1+1+i-weekend+13,SHP0003,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i2+0+i-weekday+1,西山平行き,0,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0012,i2,i-weekday,i2+0+i-weekday+1,SHP0012,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i2+0+i-weekday+2,横沢行き,0,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0013,i2,i-weekday,i2+0+i-weekday+2,SHP0013,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i2+0+i-weekday+3,井川駅前行き,0,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0014,i2,i-weekday,i2+0+i-weekday+3,SHP0014,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i2+0+i-weekday+4,井川駅前行き,0,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0014,i2,i-weekday,i2+0+i-weekday+4,SHP0014,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i2+0+i-weekday+5,横沢行き,0,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0015,i2,i-weekday,i2+0+i-weekday+5,SHP0015,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekday,feed_shizuokacity_ikawa_20260401_20260630213838_i2+0+i-weekday+6,西山平行き,0,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0016,i2,i-weekday,i2+0+i-weekday+6,SHP0016,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekend,feed_shizuokacity_ikawa_20260401_20260630213838_i2+0+i-weekend+7,横沢行き,0,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0017,i2,i-weekend,i2+0+i-weekend+7,SHP0017,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekend,feed_shizuokacity_ikawa_20260401_20260630213838_i2+0+i-weekend+8,横沢行き,0,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0018,i2,i-weekend,i2+0+i-weekend+8,SHP0018,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_i-summer,feed_shizuokacity_ikawa_20260401_20260630213838_i2+0+i-summer+9,井川駅前行き,0,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0019,i2,i-summer,i2+0+i-summer+9,SHP0019,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekend,feed_shizuokacity_ikawa_20260401_20260630213838_i2+0+i-weekend+10,井川駅前行き,0,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0020,i2,i-weekend,i2+0+i-weekend+10,SHP0020,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_i-summer,feed_shizuokacity_ikawa_20260401_20260630213838_i2+0+i-summer+11,井川駅前行き,0,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0021,i2,i-summer,i2+0+i-summer+11,SHP0021,,,
feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838,feed_shizuokacity_ikawa_20260401_20260630213838_i2,feed_shizuokacity_ikawa_20260401_20260630213838_i-weekend,feed_shizuokacity_ikawa_20260401_20260630213838_i2+0+i-weekend+12,西山平行き,0,feed_shizuokacity_ikawa_20260401_20260630213838_SHP0022,i2,i-weekend,i2+0+i-weekend+12,SHP0022,,,
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1+1+f-weekday+1,県立総合病院前行き,1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_SHP0001,f1,f-weekday,f1+1+f-weekday+1,SHP0001,2,2,shizuokacity
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1+1+f-weekday+2,県立総合病院前行き,1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_SHP0001,f1,f-weekday,f1+1+f-weekday+2,SHP0001,2,2,shizuokacity
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1+1+f-weekday+3,県立総合病院前行き,1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_SHP0001,f1,f-weekday,f1+1+f-weekday+3,SHP0001,2,2,shizuokacity
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1+1+f-weekday+4,県立総合病院前行き,1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_SHP0001,f1,f-weekday,f1+1+f-weekday+4,SHP0001,2,2,shizuokacity
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1+1+f-weekday+5,県立総合病院前行き,1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_SHP0001,f1,f-weekday,f1+1+f-weekday+5,SHP0001,2,2,shizuokacity
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f1+1+f-weekday+6,県立総合病院前行き,1,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_SHP0001,f1,f-weekday,f1+1+f-weekday+6,SHP0001,2,2,shizuokacity
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2+0+f-weekday+1,静岡駅前行き,0,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_SHP0002,f2,f-weekday,f2+0+f-weekday+1,SHP0002,2,2,shizuokacity
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2+0+f-weekday+2,静岡駅前行き,0,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_SHP0002,f2,f-weekday,f2+0+f-weekday+2,SHP0002,2,2,shizuokacity
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2+0+f-weekday+3,静岡駅前行き,0,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_SHP0002,f2,f-weekday,f2+0+f-weekday+3,SHP0002,2,2,shizuokacity
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2+0+f-weekday+4,静岡駅前行き,0,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_SHP0002,f2,f-weekday,f2+0+f-weekday+4,SHP0002,2,2,shizuokacity
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2+0+f-weekday+5,静岡駅前行き,0,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_SHP0002,f2,f-weekday,f2+0+f-weekday+5,SHP0002,2,2,shizuokacity
feed_shizuokacity_iryo_fukushi_20260401_20260630214444,feed_shizuokacity_iryo-fukushi_20260401_20260630214444,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f-weekday,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_f2+0+f-weekday+6,静岡駅前行き,0,feed_shizuokacity_iryo_fukushi_20260401_20260630214444_SHP0002,f2,f-weekday,f2+0+f-weekday+6,SHP0002,2,2,shizuokacity
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+1,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+1,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+2,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+2,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+3,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+3,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+4,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+4,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+5,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+5,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+6,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+6,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+7,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+7,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+8,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+8,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+9,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+9,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+10,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+10,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+11,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+11,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+12,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+12,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+13,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+13,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+14,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+14,SHP0001,,,
feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1,feed_shizuokacity_ryougouchi_20260401_20260630200904_t-weekday,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1+1+t-weekday+15,和田島車庫行き,1,feed_shizuokacity_ryougouchi_20260401_20260630200904_SHP0001,t1,t-weekday,t1+1+t-weekday+15,SHP0001,,,
